"ModelName","Freq"
"2321",2709
"67857",1378
"2385",316
"65681",306
"68097",261
"67601",208
"67729",199
"18705",197
"2833",181
"67731",174
"2305",167
"65683",158
"75777",140
"18689",117
"68113",115
"76293",100
"76049",97
"76053",94
"67585",92
"2817",91
"51473",91
"75781",85
"67795",81
"76289",78
"2449",77
"83969",72
"10517",71
"67921",71
"67923",66
"71953",66
"2513",55
"88337",50
"35601",44
"75793",41
"10501",40
"67715",39
"84241",36
"66049",35
"68291",35
"145",34
"76801",34
"66065",33
"117009",33
"74245",32
"3345",27
"19729",27
"75797",27
"76037",27
"67841",26
"75925",26
"11013",25
"18769",25
"52497",25
"92161",25
"75921",24
"2897",21
"10513",21
"67859",21
"2325",20
"19713",20
"51537",20
"68099",20
"88275",20
"83971",19
"2329",18
"71825",18
"76113",18
"35073",17
"67603",16
"2322",15
"68115",15
"68369",15
"100625",15
"785",14
"73041",14
"10564",13
"65617",13
"65665",13
"67713",13
"72977",13
"73877",13
"76033",13
"10497",12
"10577",12
"35089",12
"69779",12
"88401",12
"16657",11
"67985",11
"71891",11
"72403",11
"101203",11
"2194",10
"83985",10
"101137",10
"2521",9
"72387",9
"75987",9
"84225",9
"273",8
"68353",8
"68881",8
"76805",8
"10705",7
"11522",7
"18753",7
"67763",7
"76115",7
"80149",7
"2193",6
"2389",6
"3857",6
"10502",6
"18713",6
"22801",6
"26961",6
"65667",6
"68419",6
"76483",6
"88321",6
"98449",6
"2376",5
"3473",5
"10645",5
"10690",5
"18897",5
"66705",5
"68435",5
"69777",5
"84305",5
"88209",5
"88259",5
"117075",5
"2260",4
"11586",4
"19457",4
"33553",4
"35665",4
"49425",4
"71827",4
"72849",4
"76117",4
"76305",4
"92437",4
"116753",4
"2306",3
"2313",3
"2323",3
"2353",3
"2393",3
"2417",3
"2457",3
"2545",3
"2577",3
"8709",3
"10626",3
"10709",3
"14337",3
"14593",3
"22865",3
"26625",3
"26881",3
"35153",3
"35281",3
"43269",3
"51481",3
"65691",3
"66051",3
"66689",3
"67587",3
"67865",3
"72529",3
"72915",3
"73873",3
"74241",3
"74247",3
"75783",3
"75909",3
"76295",3
"81921",3
"84819",3
"88081",3
"98833",3
"100497",3
"100881",3
"101075",3
"337",2
"529",2
"2196",2
"2392",2
"2517",2
"3349",2
"3537",2
"6545",2
"8277",2
"8981",2
"10498",2
"10525",2
"10581",2
"10609",2
"10630",2
"10647",2
"10694",2
"11029",2
"11541",2
"12289",2
"16529",2
"18433",2
"18578",2
"18801",2
"19715",2
"27074",2
"30997",2
"35137",2
"36625",2
"43265",2
"59653",2
"59729",2
"60165",2
"60181",2
"65939",2
"66067",2
"67779",2
"67799",2
"67927",2
"68227",2
"68355",2
"72017",2
"72465",2
"73861",2
"74753",2
"75795",2
"75927",2
"76291",2
"76549",2
"77073",2
"88065",2
"92165",2
"94033",2
"100689",2
"100691",2
"101201",2
"108549",2
"114833",2
"116947",2
"121169",2
"124945",2
"125205",2
"81",1
"258",1
"277",1
"657",1
"2065",1
"2177",1
"2337",1
"2386",1
"2387",1
"2390",1
"2434",1
"2481",1
"2502",1
"2515",1
"2772",1
"2841",1
"2881",1
"2883",1
"2961",1
"3409",1
"3841",1
"4609",1
"6340",1
"6404",1
"6417",1
"6421",1
"6484",1
"6980",1
"7185",1
"7441",1
"7492",1
"8324",1
"8469",1
"8477",1
"8533",1
"10578",1
"10579",1
"10580",1
"10625",1
"10629",1
"10641",1
"10658",1
"10662",1
"10717",1
"10757",1
"11669",1
"11714",1
"11733",1
"12037",1
"12226",1
"14601",1
"14737",1
"14754",1
"15682",1
"15684",1
"16401",1
"16513",1
"16641",1
"16665",1
"18580",1
"18729",1
"18760",1
"18771",1
"18777",1
"18779",1
"18833",1
"18905",1
"19225",1
"19409",1
"19459",1
"19602",1
"19731",1
"19733",1
"23825",1
"26993",1
"27922",1
"27986",1
"30993",1
"31217",1
"31253",1
"32897",1
"35081",1
"35091",1
"35154",1
"35201",1
"35668",1
"35986",1
"36117",1
"43329",1
"43348",1
"43985",1
"44370",1
"44482",1
"49433",1
"49489",1
"51412",1
"51457",1
"51474",1
"51477",1
"51545",1
"52505",1
"59665",1
"65873",1
"66177",1
"66195",1
"67861",1
"67908",1
"67931",1
"68049",1
"68433",1
"68441",1
"68755",1
"68889",1
"68945",1
"68947",1
"69783",1
"70801",1
"71859",1
"71957",1
"72019",1
"72531",1
"72643",1
"73169",1
"74005",1
"74261",1
"74757",1
"74897",1
"75779",1
"75799",1
"75905",1
"75911",1
"76181",1
"76309",1
"76545",1
"76561",1
"76611",1
"76627",1
"76643",1
"76817",1
"76929",1
"77057",1
"77122",1
"77137",1
"77250",1
"79873",1
"80021",1
"81937",1
"84163",1
"84289",1
"84307",1
"84817",1
"85138",1
"85329",1
"86161",1
"88243",1
"88369",1
"92163",1
"92497",1
"92529",1
"92701",1
"93521",1
"93525",1
"96257",1
"96533",1
"100499",1
"100609",1
"100817",1
"100889",1
"101059",1
"101702",1
"104902",1
"108545",1
"108689",1
"108805",1
"108821",1
"108945",1
"109009",1
"109251",1
"109427",1
"114705",1
"117073",1
"117079",1
"117587",1
"117971",1
"121043",1
"124933",1
"125269",1
