study	ref	breed	biome	X	Y	RR.total.yield	control.c	crops.c	tree.c	nutri.c	supple.c	legumes.c	rotation	gender	type	stock rate control	soil	crops.t	tree.t	nutri.t	suppe.t	legumes.t	treat.total.yield	crops	tree	nutri	suppe	legumes
1	Oliveira et al 2014	zebu	CERRADO	-54.61666667	-20.45	-0.927986772	CP	yes	no	yes	yes	no	no	f	beef	0.9	latossolo	no	yes	no	no	no	0.188888889	yes	yes	yes	yes	no
1	Oliveira et al 2014	zebu	CERRADO	-54.61666667	-20.45	-0.883500909	CP	yes	no	yes	yes	no	no	f	beef	1	latossolo	no	yes	no	no	no	0.344444444	yes	yes	yes	yes	no
1	Oliveira et al 2014	zebu	CERRADO	-54.61666667	-20.45	-0.257572271	CP	yes	no	yes	yes	no	no	f	beef	1.5	latossolo	no	yes	no	no	no	1.966666667	yes	yes	yes	yes	no
1	Oliveira et al 2014	zebu	CERRADO	-54.61666667	-20.45	-0.55567619	CP	yes	no	yes	yes	no	no	f	beef	2.6	latossolo	no	yes	no	no	no	1.211111111	yes	yes	yes	yes	no
1	Oliveira et al 2014	zebu	CERRADO	-54.61666667	-20.45	-0.360002734	CP	yes	no	yes	yes	no	no	f	beef	0.9	latossolo	no	yes	no	no	no	0.333333333	yes	yes	yes	yes	no
1	Oliveira et al 2014	zebu	CERRADO	-54.61666667	-20.45	-0.01342302	CP	yes	no	yes	yes	no	no	f	beef	1	latossolo	no	yes	no	no	no	0.822222222	yes	yes	yes	yes	no
1	Oliveira et al 2014	zebu	CERRADO	-54.61666667	-20.45	-0.086614473	CP	yes	no	yes	yes	no	no	f	beef	1.5	latossolo	no	yes	no	no	no	2.333333333	yes	yes	yes	yes	no
1	Oliveira et al 2014	zebu	CERRADO	-54.61666667	-20.45	-0.27029033	CP	yes	no	yes	yes	no	no	f	beef	2.6	latossolo	no	yes	no	no	no	1.611111111	yes	yes	yes	yes	no
2	Salton et al  2014	breeding	CERRADO	-54.80476944	-22.28244444	0.121139177	CP	no	no	no	no	no	no	f	beef	2.177777778	argissolo	yes	no	yes	no	no	4.731707317	yes	no	yes	no	no
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	-0.034758633	CP	no	no	yes	yes	no	no	m	beef	1.47	argissolo	no	no	no	no	yes	0.847411444	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.003220615	CP	no	no	yes	yes	no	no	m	beef	1.49	neossolo	no	no	no	no	yes	0.962848297	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.013468217	CP	no	no	yes	yes	no	no	m	beef	1.3	argissolo	no	no	no	no	yes	0.795212766	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.070067563	CP	no	no	yes	yes	no	no	m	beef	1.34	argissolo	no	no	no	no	yes	0.791666667	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	-0.022409901	CP	no	no	yes	yes	no	no	m	beef	1.43	argissolo	no	no	no	no	yes	1.400793651	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.005509656	CP	no	no	yes	yes	no	no	m	beef	1.51	chernossolo	no	no	no	no	yes	0.827272727	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.130620182	CP	no	no	yes	yes	no	no	m	beef	2.18	argissolo	no	no	no	no	yes	1.46866485	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.059835792	CP	no	no	yes	yes	no	no	m	beef	2.14	argissolo	no	no	no	no	yes	1.226006192	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	-0.010666768	CP	no	no	yes	yes	no	no	m	beef	1.86	argissolo	no	no	no	no	yes	0.992021277	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.149035579	CP	no	no	yes	yes	no	no	m	beef	2.02	argissolo	no	no	no	no	yes	1.068493151	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.049247935	CP	no	no	yes	yes	no	no	m	beef	1.92	argissolo	no	no	no	no	yes	1.197260274	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.126133815	CP	no	no	yes	yes	no	no	m	beef	2.03	argissolo	no	no	no	no	yes	1.317808219	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	-0.074661529	CP	no	no	yes	yes	no	no	m	beef	2.81	argissolo	no	no	no	no	yes	1.41369863	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.203452338	CP	no	no	yes	yes	no	no	m	beef	2.66	argissolo	no	no	no	no	yes	1.205479452	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.094362761	CP	no	no	yes	yes	no	no	m	beef	2.4	argissolo	no	no	no	no	yes	1.156164384	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.034916265	CP	no	no	yes	yes	no	no	m	beef	2.47	argissolo	no	no	no	no	yes	1.117808219	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	-0.280360908	CP	no	no	yes	yes	no	no	m	beef	2.43	argissolo	no	no	no	no	yes	1.032876712	no	no	yes	yes	yes
3	Pereira et al 2009	zebu	ATLANTIC.FOREST	-39.5	-16.65	0.096391846	CP	no	no	yes	yes	no	no	m	beef	2.44	argissolo	no	no	no	no	yes	1.520547945	no	no	yes	yes	yes
4	Euclides et al 1998	NA	CERRADO	-54.61666667	-20.45	0.075035186	CP	no	no	yes	no	no	no	m	beef	3.4	luvissolo	no	no	no	no	yes	2.766666667	no	no	yes	no	yes
4	Euclides et al 1998	NA	CERRADO	-54.61666667	-20.45	0.270645885	CP	no	no	yes	no	no	no	m	beef	2.7	latossolo	no	no	no	no	yes	1.616666667	no	no	yes	no	yes
5	Rizo et al  2014	breeding	PAMPA	-54.1	-31.31	1.052802753	SNP	no	no	no	no	no	no	m	beef	0.526666667	argissolo	no	no	yes	no	yes	1.310580205	no	no	yes	no	yes
5	Rizo et al  2014	breeding	PAMPA	-54.1	-31.31	0.936970937	SNP	no	no	no	no	no	no	m	beef	0.526666667	planossolo	no	no	yes	no	yes	1.167235495	no	no	yes	no	yes
5	Rizo et al  2014	breeding	PAMPA	-54.1	-31.31	1.075969812	SNP	no	no	no	no	no	no	m	beef	0.526666667	planossolo	no	no	yes	no	yes	1.341296928	no	no	yes	no	yes
6	Lesama & Moojen 1999	breeding	PAMPA	-54.8665	-29.1914	0.333726011	CP	no	no	yes	no	yes	no	m	beef	2.533333333	latossolo	no	no	no	no	no	5.901639344	no	no	yes	no	yes
7	Paris et al  2009	breeding	ATLANTIC.FOREST	-52.43333333	-23.08333333	0.248157362	CP	no	no	no	no	yes	no	f	beef	2.35	latossolo	no	no	yes	no	no	0.903571429	no	no	yes	no	yes
7	Paris et al  2009	breeding	ATLANTIC.FOREST	-52.43333333	-23.08333333	0.365880612	CP	no	no	no	no	yes	no	f	beef	3.34	latossolo	no	no	yes	no	no	3.095714286	no	no	yes	no	yes
7	Paris et al  2009	breeding	ATLANTIC.FOREST	-52.43333333	-23.08333333	-0.104907462	CP	no	no	no	no	yes	no	f	beef	6.91	latossolo	no	no	yes	no	no	5.866285714	no	no	yes	no	yes
7	Paris et al  2009	breeding	ATLANTIC.FOREST	-52.43333333	-23.08333333	0.650420006	CP	no	no	no	no	yes	no	f	beef	3.46	latossolo	no	no	yes	no	no	1.705	no	no	yes	no	yes
7	Paris et al  2009	breeding	ATLANTIC.FOREST	-52.43333333	-23.08333333	0.439267589	CP	no	no	no	no	yes	no	f	beef	2.35	latossolo	no	no	yes	no	no	1.093857143	no	no	yes	no	yes
7	Paris et al  2009	breeding	ATLANTIC.FOREST	-52.43333333	-23.08333333	0.528159549	CP	no	no	no	no	yes	no	f	beef	3.34	latossolo	no	no	yes	no	no	3.641142857	no	no	yes	no	yes
7	Paris et al  2009	breeding	ATLANTIC.FOREST	-52.43333333	-23.08333333	0.155296489	CP	no	no	no	no	yes	no	f	beef	6.91	latossolo	no	no	yes	no	no	7.609714286	no	no	yes	no	yes
7	Paris et al  2009	breeding	ATLANTIC.FOREST	-52.43333333	-23.08333333	1.150954059	CP	no	no	no	no	yes	no	f	beef	3.46	latossolo	no	no	yes	no	no	2.812571429	no	no	yes	no	yes
8	Xavier et al  2014	breeding	ATLANTIC.FOREST	-43.1	-21.55	0.155128675	CP	no	no	yes	yes	no	yes	f	dairy	1.306420233	latossolo	no	yes	no	no	yes	0.934246575	no	yes	yes	yes	yes
9	Ferreira et al 2011	breeding	PAMPA	-55.85083333	-30.26777778	0.569094532	SNP	no	no	no	no	no	no	m	beef	0.7	vertissolo	no	no	yes	no	no	0.726027397	no	no	yes	no	no
9	Ferreira et al 2011	breeding	PAMPA	-55.85083333	-30.26777778	0.633043256	SNP	no	no	no	no	no	no	m	beef	0.7	vertissolo	no	no	yes	no	no	0.773972603	no	no	yes	no	no
9	Ferreira et al 2011	breeding	PAMPA	-55.85083333	-30.26777778	0.825745302	SNP	no	no	no	no	no	no	m	beef	1.1	vertissolo	no	no	yes	no	yes	1.047945205	no	no	yes	no	yes
9	Ferreira et al 2011	breeding	PAMPA	-55.85083333	-30.26777778	0.805942675	SNP	no	no	no	no	no	no	m	beef	1.1	vertissolo	no	no	yes	no	yes	1.02739726	no	no	yes	no	yes
